model	distance N/C-term	norm_d	#contacts	norm_c	rank
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990063.pdb	53.1144	0.9574	176	1.0	0.9787
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990026.pdb	51.6695	0.9076	176	1.0	0.9538
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990032.pdb	50.7555	0.8761	178	0.9636	0.9198
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990082.pdb	52.2505	0.9277	184	0.8545	0.8911
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990078.pdb	46.2982	0.7225	178	0.9636	0.843
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990054.pdb	54.28	0.9976	195	0.6545	0.826
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990071.pdb	51.2221	0.8922	190	0.7455	0.8189
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990081.pdb	50.1477	0.8552	188	0.7818	0.8185
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990068.pdb	47.1132	0.7506	185	0.8364	0.7935
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990057.pdb	51.35	0.8966	194	0.6727	0.7846
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990065.pdb	45.227	0.6855	183	0.8727	0.7791
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990072.pdb	53.2111	0.9608	199	0.5818	0.7713
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990097.pdb	41.7139	0.5644	178	0.9636	0.764
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990011.pdb	52.6625	0.9419	199	0.5818	0.7618
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990077.pdb	47.6214	0.7681	190	0.7455	0.7568
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990022.pdb	46.7957	0.7396	190	0.7455	0.7426
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990002.pdb	41.3556	0.5521	180	0.9273	0.7397
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990055.pdb	40.2561	0.5142	179	0.9455	0.7298
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990041.pdb	49.4222	0.8302	197	0.6182	0.7242
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990074.pdb	54.3492	1.0	207	0.4364	0.7182
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990008.pdb	49.1159	0.8196	199	0.5818	0.7007
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990019.pdb	50.0593	0.8521	201	0.5455	0.6988
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990046.pdb	52.7435	0.9446	207	0.4364	0.6905
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990100.pdb	43.2117	0.6161	189	0.7636	0.6898
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990066.pdb	46.8313	0.7408	196	0.6364	0.6886
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990079.pdb	40.6808	0.5288	185	0.8364	0.6826
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990005.pdb	40.0386	0.5067	184	0.8545	0.6806
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990069.pdb	47.7485	0.7725	199	0.5818	0.6771
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990040.pdb	43.3376	0.6204	191	0.7273	0.6738
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990009.pdb	45.9646	0.711	196	0.6364	0.6737
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990049.pdb	46.6674	0.7352	198	0.6	0.6676
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990001.pdb	37.327	0.4132	181	0.9091	0.6612
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990052.pdb	40.403	0.5192	187	0.8	0.6596
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990091.pdb	39.7649	0.4972	187	0.8	0.6486
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990021.pdb	41.2105	0.5471	190	0.7455	0.6463
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990051.pdb	48.4566	0.7969	204	0.4909	0.6439
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990080.pdb	47.1977	0.7535	202	0.5273	0.6404
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990043.pdb	44.218	0.6507	197	0.6182	0.6344
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990014.pdb	44.3691	0.656	198	0.6	0.628
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990094.pdb	45.717	0.7024	201	0.5455	0.624
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990099.pdb	50.084	0.853	210	0.3818	0.6174
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990028.pdb	43.6141	0.6299	198	0.6	0.615
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990085.pdb	48.015	0.7816	207	0.4364	0.609
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990076.pdb	42.1414	0.5792	196	0.6364	0.6078
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990064.pdb	39.73	0.496	192	0.7091	0.6025
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990033.pdb	38.0039	0.4365	189	0.7636	0.6
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990035.pdb	39.7925	0.4982	193	0.6909	0.5945
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990070.pdb	47.1129	0.7505	208	0.4182	0.5843
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990083.pdb	39.6678	0.4939	194	0.6727	0.5833
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990086.pdb	39.0161	0.4714	193	0.6909	0.5811
